"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,3.5,29,3799.1
0.9,0.9,1.4,3.5,30,3799.2
0.9,0.9,1.4,3.5,31,3783.93333333333
0.9,0.9,1.4,3.5,32,3748.43333333333
0.9,0.9,1.4,3.5,33,3692
0.9,0.9,1.4,3.5,34,3618.76666666667
0.9,0.9,1.4,3.5,35,3530.7
0.9,0.9,1.4,3.5,36,3411.43333333333
0.9,0.9,1.4,3.5,37,3267.1
0.9,0.9,1.4,3.5,38,3086.2
0.9,0.9,1.4,3.5,39,2883.16666666667
0.9,0.9,1.4,3.5,40,2657.33333333333
0.9,0.9,1.4,3.5,41,2409.86666666667
0.9,0.9,1.4,3.5,42,2148.56666666667
0.9,0.9,1.4,3.5,43,1862.23333333333
0.9,0.9,1.4,3.5,44,1566.3
0.9,0.9,1.4,3.5,45,1267.13333333333
0.9,0.9,1.4,3.5,46,985.533333333333
0.9,0.9,1.4,3.5,47,731.733333333333
0.9,0.9,1.4,3.5,48,522.366666666667
0.9,0.9,1.4,3.5,49,356.466666666667
0.9,0.9,1.4,3.5,50,235.8
0.9,0.9,1.4,3.5,51,148.6
0.9,0.9,1.4,3.5,52,93.0333333333333
0.9,0.9,1.4,3.5,53,59.2666666666667
0.9,0.9,1.4,3.5,54,40.3
0.9,0.9,1.4,3.5,55,26.4666666666667
0.9,0.9,1.4,3.5,56,18.2
0.9,0.9,1.4,3.5,57,13.1
0.9,0.9,1.4,3.5,58,9.3
0.9,0.9,1.4,3.5,59,6.2
0.9,0.9,1.4,3.5,60,4.1
0.9,0.9,1.4,3.5,61,2.9
0.9,0.9,1.4,3.5,62,1.96551724137931
0.9,0.9,1.4,3.5,63,1.5
0.9,0.9,1.4,3.5,64,1.33333333333333
0.9,0.9,1.4,3.5,65,1.21428571428571
0.9,0.9,1.4,3.5,66,0.916666666666667
0.9,0.9,1.4,3.5,67,1
0.9,0.9,1.4,3.5,68,0.714285714285714
0.9,0.9,1.4,3.5,69,0.6
0.9,0.9,1.4,3.5,70,0.666666666666667
0.9,0.9,1.4,3.5,71,0.5
0.9,0.9,1.4,3.5,72,1
0.9,0.9,1.4,3.5,73,0
0.9,0.9,1.4,4,0,0
0.9,0.9,1.4,4,1,5.83333333333333
0.9,0.9,1.4,4,2,11
0.9,0.9,1.4,4,3,16.9333333333333
0.9,0.9,1.4,4,4,22.5666666666667
0.9,0.9,1.4,4,5,29.8666666666667
0.9,0.9,1.4,4,6,49.9333333333333
0.9,0.9,1.4,4,7,93.7666666666667
0.9,0.9,1.4,4,8,150.9
0.9,0.9,1.4,4,9,222.533333333333
0.9,0.9,1.4,4,10,312.066666666667
0.9,0.9,1.4,4,11,434.133333333333
0.9,0.9,1.4,4,12,601.066666666667
0.9,0.9,1.4,4,13,837.866666666667
0.9,0.9,1.4,4,14,1090.9
0.9,0.9,1.4,4,15,1363.96666666667
0.9,0.9,1.4,4,16,1664.36666666667
0.9,0.9,1.4,4,17,1981.63333333333
0.9,0.9,1.4,4,18,2328.76666666667
0.9,0.9,1.4,4,19,2669.26666666667
0.9,0.9,1.4,4,20,2981.86666666667
0.9,0.9,1.4,4,21,3234
0.9,0.9,1.4,4,22,3442.6
0.9,0.9,1.4,4,23,3589.93333333333
0.9,0.9,1.4,4,24,3691.23333333333
0.9,0.9,1.4,4,25,3756.2
0.9,0.9,1.4,4,26,3791.73333333333
0.9,0.9,1.4,4,27,3810
0.9,0.9,1.4,4,28,3816.63333333333
0.9,0.9,1.4,4,29,3817.46666666667
0.9,0.9,1.4,4,30,3811.56666666667
0.9,0.9,1.4,4,31,3789.36666666667
0.9,0.9,1.4,4,32,3749.5
0.9,0.9,1.4,4,33,3689.53333333333
0.9,0.9,1.4,4,34,3612.9
0.9,0.9,1.4,4,35,3514
0.9,0.9,1.4,4,36,3387.53333333333
0.9,0.9,1.4,4,37,3220
0.9,0.9,1.4,4,38,2993.76666666667
0.9,0.9,1.4,4,39,2740
0.9,0.9,1.4,4,40,2466.3
0.9,0.9,1.4,4,41,2173.23333333333
0.9,0.9,1.4,4,42,1859.7
0.9,0.9,1.4,4,43,1528.4
